name,postcode,category,review_count,rating,price,distance,latitude,longitude
Bar Vintage 132,H3L 1T4,Bars,7.0,4.5,$$,805.008249986309,45.5534000891078,-73.66225451231003
Über Cafbar,H2C 1P8,Bars,6.0,4.5,$$,555.8121300725006,45.5534000891078,-73.66225451231003
Resto Bar Coin Du Metro,H3L 2E7,Sports Bars,4.0,3.0,$$,531.5200627899419,45.5534000891078,-73.66225451231003
Le Pourvoyeur,H2C 1R8,Bars,2.0,4.0,,1000.7409702608314,45.5534000891078,-73.66225451231003
Le Lucie,H3L 1T7,Wine Bars,1.0,3.0,,987.4676251211656,45.5534000891078,-73.66225451231003
Sacre Fut,H2C 1R4,Bars,1.0,4.0,$$,837.6760639407917,45.5534000891078,-73.66225451231003
La Belle et La Boeuf,H1M 1W9,Sports Bars,31.0,3.5,$$,281.2790810356016,45.59722114932571,-73.56279015541077
Bâton Rouge Steakhouse & Bar,H1M 1W9,Cocktail Bars,23.0,3.5,$$$,290.7552407163188,45.59722114932571,-73.56279015541077
Les 3 Brasseurs,H1M 2W2,Bars,14.0,2.5,$$,185.6213621093034,45.59722114932571,-73.56279015541077
Industria,H1M 1W9,Bars,8.0,4.0,,473.0971280288653,45.59722114932571,-73.56279015541077
Appetit Restaurant Asiatique,H1S 1V7,Bars,1.0,5.0,,827.7733214974637,45.59722114932571,-73.56279015541077
Pub St-François,H1M 1A9,Bars,1.0,2.0,,1023.6629563470905,45.59722114932571,-73.56279015541077
Bar J O,H1M 3B3,Bars,1.0,4.0,$$,961.3923533320643,45.59722114932571,-73.56279015541077
La Zone,H1Z 2C7,Bars,2.0,1.0,$,291.76940661162257,45.55984236120471,-73.61544728279114
Caffè Roma,H2E 1H5,Bars,3.0,5.0,$,989.8861637718461,45.55984236120471,-73.61544728279114
Futur Lounge,H2E 1V9,Bars,1.0,1.0,,1281.7103604218155,45.55984236120471,-73.61544728279114
Pub Burgundy Lion,H3J 1N5,Sports Bars,233.0,4.0,$$,759.067414001096,45.48918571608228,-73.57190027832984
Le Vin Papillon,H3J 1N4,Wine Bars,144.0,4.5,$$$,766.1817632175105,45.48918571608228,-73.57190027832984
Perles et Paddock,H1T 3M7,Cocktail Bars,50.0,4.0,$$$$,324.08198690826634,45.48918571608228,-73.57190027832984
Chez Sophie,H3J 1M8,Wine Bars,35.0,4.5,$$$$,346.8707329999655,45.48918571608228,-73.57190027832984
Imadake,H3Z 1P2,Bars,286.0,4.0,$$,989.200192738611,45.48918571608228,-73.57190027832984
KINKA IZAKAYA MONTREAL,H3H 2S7,Tapas Bars,376.0,4.0,$$,757.1711535024715,45.48918571608228,-73.57190027832984
Atwater Cocktail Club,H4C 2G5,Cocktail Bars,116.0,4.5,$$,991.6067549854677,45.48918571608228,-73.57190027832984
Ye Olde Orchard,H3G 1Z2,Bars,82.0,4.0,$$,912.7238898321805,45.48918571608228,-73.57190027832984
Pub Lord William,H3J,Bars,38.0,4.0,$$,455.4701834072096,45.48918571608228,-73.57190027832984
La Belle & La Boeuf,H3A 1L9,Bars,216.0,3.5,$$,752.9396173855077,45.48918571608228,-73.57190027832984
McKibbin's Irish Pub,H3G 2E6,Bars,124.0,3.5,$$,942.8516871602333,45.48918571608228,-73.57190027832984
Le Bureau,H3J 1M1,Bars,31.0,3.5,$$$,344.17496758249985,45.48918571608228,-73.57190027832984
Mad Hatter Pub,H3G 2A9,Bars,101.0,4.0,$,877.4422164346288,45.48918571608228,-73.57190027832984
Wienstein & Gavino's,H3G 2B6,Wine Bars,252.0,3.5,$$,1000.2092267097353,45.48918571608228,-73.57190027832984
Bier Markt,H3G 1T1,Bars,246.0,3.5,$$,920.3816854564158,45.48918571608228,-73.57190027832984
Bar Ganadara,H3H,Bars,71.0,4.0,$$,767.3310473505729,45.48918571608228,-73.57190027832984
Knox,H3K 1J1,Bars,18.0,4.5,$$,1021.6363517173213,45.48918571608228,-73.57190027832984
Hurley's Irish Pub,H3G 2B1,Bars,131.0,4.0,$$,884.5756013556227,45.48918571608228,-73.57190027832984
