name,postcode,category,distance,latitude,longitude
C'Cho-Colat,H3G 2E2,Lounge,845.0,45.48918571608228,-73.57190027832984
Moose Bawr,H3H 1M2,Pub,776.0,45.48918571608228,-73.57190027832984
Escondite,H3G 1V7,Bar,971.0,45.48918571608228,-73.57190027832984
Brutopia,H3G 2B1,Bar,856.0,45.48918571608228,-73.57190027832984
Kana Taverne Ltée,H4L 1J4,Beer Garden,654.0,45.52252484113786,-73.69143962860107
Café Solaris,H3W 3C6,Lounge,492.0,45.490494421832885,-73.63852232694626
Vodka Bar Inc,H3W 3C7,Bar,425.0,45.490494421832885,-73.63852232694626
Mecs Bar,H3W 3C2,Cocktail Bar,971.0,45.490494421832885,-73.63852232694626
Bistro Lina,H3X 2T8,Bar,950.0,45.490494421832885,-73.63852232694626
Jilly's,H3X 2T8,Pool Hall,950.0,45.490494421832885,-73.63852232694626
Snookers Billiards,H4K 1N3,Pool Hall,609.0,45.5319435900764,-73.71360540390015
Pub Cartierville Enr,H4J 1E3,Bar,505.0,45.5319435900764,-73.71360540390015
Harmony Entertainment,H4J 1H4,Karaoke Bar,707.0,45.5319435900764,-73.71360540390015
Atwater Cocktail Club,H4C 2G5,Speakeasy,87.0,45.48049514330605,-73.57782661914825
Le Vin Papillon,H3J 1N6,Wine Bar,309.0,45.48049514330605,-73.57782661914825
Burgundy Lion,H3J 1N5,Bar,329.0,45.48049514330605,-73.57782661914825
Drinkerie Ste-Cunégonde,H3J 1N9,Night Club,218.0,45.48049514330605,-73.57782661914825
El Gordo,H3J 1N5,Bar,302.0,45.48049514330605,-73.57782661914825
Cyr,H4C 1P2,Cocktail Bar,97.0,45.48049514330605,-73.57782661914825
Bar,,Bar,114.0,45.48049514330605,-73.57782661914825
Placements Sergakis Inc,H4C 1P6,Bar,246.0,45.48049514330605,-73.57782661914825
Bar Chez Pierre,H4C 1P7,Lounge,296.0,45.48049514330605,-73.57782661914825
Porto Lounge,H4C 1P7,Lounge,324.0,45.48049514330605,-73.57782661914825
Bar Lindberg,H1H 1V3,Bar,557.0,45.59398503487043,-73.63767206668854
Brasserie Charleroi,H1H 1V3,Lounge,553.0,45.59398503487043,-73.63767206668854
Chez Baptiste Sur Masson,H1Y 1X6,Bar,1011.0,45.5457759528664,-73.56217458844185
Morelli,H1W 1C4,Bar,798.0,45.5457759528664,-73.56217458844185
Taverne Morelli,H1W 1H8,Lounge,807.0,45.5457759528664,-73.56217458844185
Restaurant Québerac,H8S 1X8,Bar,405.0,45.43982382100397,-73.69487822055817
Queberac Deli Bar,H8S 1X8,Lounge,486.0,45.43982382100397,-73.69487822055817
77 Cafe Sunset,H8S 2N9,Bar,862.0,45.43982382100397,-73.69487822055817
Universal Lounge Vip,H8S 2N9,Lounge,882.0,45.43982382100397,-73.69487822055817
Les 3 Brasseurs,H1M 2W2,Bar,673.0,45.6027276,-73.5579303
La Belle & la Boeuf,H1M 1W9,Cocktail Bar,559.0,45.6027276,-73.5579303
Brasserie Sports40,,Sports Bar,907.0,45.6027276,-73.5579303
Gameroom Depot Inc,H1J 1X6,Pool Hall,894.0,45.6027276,-73.5579303
Bar la 40,H1K 1A1,Bar,908.0,45.6027276,-73.5579303
Brasserie Parkway,H1J 1X6,Bar,938.0,45.6027276,-73.5579303
Vegas Bistro,H1K 4Y9,Cocktail Bar,811.0,45.610926628992026,-73.54673445224762
Bistro Bar le Cordon,H8R 1H1,Beer Garden,530.0,45.44606092178209,-73.65079946815968
Monopole,H3C 1T7,Wine Bar,303.0,45.49716534003792,-73.55933010578154
New City Gas,H3C 1S4,Music Venue,234.0,45.49716534003792,-73.55933010578154
Pub Wolf & Workman,H2Y 1Z5,Restaurant,805.0,45.49716534003792,-73.55933010578154
Terrasse Place d'Armes,H2Y 2X6,Hotel Bar,920.0,45.49716534003792,-73.55933010578154
Nacarat,H3B 4A5,Cocktail Bar,798.0,45.49716534003792,-73.55933010578154
Tiradito,H2Z 1N2,Bar,879.0,45.49716534003792,-73.55933010578154
Escondite,H3B 3C4,Bar,933.0,45.49716534003792,-73.55933010578154
Nhâu Bar,H3C 1N6,Cocktail Bar,349.0,45.49716534003792,-73.55933010578154
Tommy,H2Y 1T3,Lounge,749.0,45.49716534003792,-73.55933010578154
La Voute,H2Y 1P5,Night Club,566.0,45.49716534003792,-73.55933010578154
Terrasses Bonsecours,H2Y 0B4,Lounge,919.0,45.51366626207095,-73.53842496871948
Molson Canada,H2L 2R4,Bar,893.0,45.51366626207095,-73.53842496871948
Cafe Intervallo Bistro-Bar,H8N 1X8,Bar,333.0,45.43854405099729,-73.62021625041962
Bingo BNO,H8N 1X3,Bar,367.0,45.43854405099729,-73.62021625041962
Haraiki Cocktail Lounge,H8N 1P1,Cocktail Bar,896.0,45.43854405099729,-73.62021625041962
Caffe Lupo,H8N 2S2,Bar,449.0,45.43854405099729,-73.62021625041962
Bar San Remo,H8N 2N8,Pool Hall,526.0,45.43854405099729,-73.62021625041962
RESTO CAFE O'Connor's,H8N 2M4,Bar,639.0,45.43854405099729,-73.62021625041962
UTBQ – Union des Tenanciers de Bars du Québec,H8N 2R5,Property Management Office,829.0,45.43854405099729,-73.62021625041962
Restaurant Québerac,H8S 1X8,Bar,710.0,45.432839840726125,-73.69349151849747
77 Cafe Sunset,H8S 2N9,Bar,520.0,45.432839840726125,-73.69349151849747
Universal Lounge Vip,H8S 2N9,Lounge,549.0,45.432839840726125,-73.69349151849747
Queberac Deli Bar,H8S 1X8,Lounge,596.0,45.432839840726125,-73.69349151849747
Restaurant Québerac,H8S 1X8,Bar,825.0,45.43579350588776,-73.6801904439926
Bar Zeffé,H8S 1Z7,Bar,848.0,45.43579350588776,-73.6801904439926
Houblon et Cépages,,Wine Bar,383.0,45.43579350588776,-73.6801904439926
Universal Lounge Vip,H8S 2N9,Lounge,538.0,45.43579350588776,-73.6801904439926
77 Cafe Sunset,H8S 2N9,Bar,567.0,45.43579350588776,-73.6801904439926
Queberac Deli Bar,H8S 1X8,Lounge,758.0,45.43579350588776,-73.6801904439926
Bar Western Chez Marcel,H8S 2B2,Cocktail Bar,871.0,45.43579350588776,-73.6801904439926
Bar Liqueur,H8S 2B2,Bar,878.0,45.43579350588776,-73.6801904439926
Brasserie Cote St-Paul,H4E 1G2,Bar,889.0,45.45608545783109,-73.58193710446358
Shooter's Cafe,H4E 3H9,Sports Bar,977.0,45.45608545783109,-73.58193710446358
Café Bar Gypsy,H1L 1E8,Cocktail Bar,356.0,45.60962627826218,-73.52273898082785
Café Sunset,H1L 1E5,Cocktail Bar,804.0,45.60962627826218,-73.52273898082785
Bar Salon Sherbrooke Est Enr,H1L 1C8,Bar,517.0,45.60962627826218,-73.52273898082785
Le Relais du Voyageur,H1L 3R3,Bar,973.0,45.60962627826218,-73.52273898082785
St Leonard Sports Bar,H1P 1N2,Pool Hall,667.0,45.5904902,-73.5902694
Salle d'Amusement Saint-Léonard,H1P 1N2,Bar,674.0,45.5904902,-73.5902694
Bar Rencontre le Select Classique,H1S 1A7,Night Club,610.0,45.5904902,-73.5902694
Bar Jean-Talon,H1S 1M2,Cocktail Bar,981.0,45.5904902,-73.5902694
S Lounge,H1S 1M2,Lounge,984.0,45.5904902,-73.5902694
Cafe Capo-Chino,H1R 1X3,Cocktail Bar,481.0,45.57940569041942,-73.60258877277374
Bistro d'Herelle,H1Z 2B6,Bar,602.0,45.57940569041942,-73.60258877277374
Caffé Mokka,H1Z 3T9,Lounge,832.0,45.57940569041942,-73.60258877277374
Bar Azzurro,H1R 1X3,Bar,441.0,45.57940569041942,-73.60258877277374
Cafe Sino,H1R 1X3,Lounge,481.0,45.57940569041942,-73.60258877277374
Brasserie l'Unik,,Bar,900.0,45.5200557245067,-73.67795147001743
Cherry Bar Inc,H2A 1A4,Cocktail Bar,601.0,45.5616903,-73.610512
Resto-Bar Lucky 7,H1Z 2E3,Bar,188.0,45.5616903,-73.610512
Brasserie Chez le Pere Gedeon,H2A 3A5,Bar,377.0,45.5616903,-73.610512
Action Production a N J,H1Z 4K6,Karaoke Bar,660.0,45.5616903,-73.610512
Brasserie Place 37,H1Z 3E7,Night Club,771.0,45.5616903,-73.610512
Perandello Sport Bar,H1Z 1Y4,Sports Bar,892.0,45.5616903,-73.610512
Bingo BNO,H8N 1X3,Bar,454.0,45.44527192876118,-73.62448364496231
Cage Aux Sports,H8N 1X1,Restaurant,964.0,45.44527192876118,-73.62448364496231
Cafe Intervallo Bistro-Bar,H8N 1X8,Bar,881.0,45.44527192876118,-73.62448364496231
La Belle & la Boeuf - Burger Bar - LaSalle,H8N 1X1,Bar,906.0,45.44527192876118,-73.62448364496231
UTBQ – Union des Tenanciers de Bars du Québec,H8N 2R5,Property Management Office,212.0,45.44527192876118,-73.62448364496231
Bar San Remo,H8N 2N8,Pool Hall,981.0,45.44527192876118,-73.62448364496231
Pub Wolf & Workman,H2Y 1Z5,Restaurant,862.0,45.501863463435576,-73.5439610481262
Cold Room,H2Y 1G8,Speakeasy,912.0,45.501863463435576,-73.5439610481262
Modavie,H2Y 1Y6,Wine Bar,870.0,45.501863463435576,-73.5439610481262
Perché,H2Y 1E7,Bar,951.0,45.501863463435576,-73.5439610481262
Boho,H2Y 2T3,Cocktail Bar,974.0,45.501863463435576,-73.5439610481262
Méchant Bœuf Bar & Brasserie,H2Y 1Z3,Bar,860.0,45.501863463435576,-73.5439610481262
Philemon Bar,H2Y 1Z5,Night Club,870.0,45.501863463435576,-73.5439610481262
BEVO Bar + Pizzeria,H2Y 3A5,Bar,916.0,45.501863463435576,-73.5439610481262
Nhâu Bar,H3C 1N6,Cocktail Bar,996.0,45.501863463435576,-73.5439610481262
El Pequeño Bar,H2Y 3A4,Cocktail Bar,923.0,45.501863463435576,-73.5439610481262
V-Lounge,H8R 3A1,Arts and Entertainment,635.0,45.42505966615074,-73.64959917962551
Cage Aux Sports,H8N 1X1,Restaurant,349.0,45.44404309237571,-73.61375212669373
La Belle & la Boeuf - Burger Bar - LaSalle,H8N 1X1,Bar,452.0,45.44404309237571,-73.61375212669373
Bingo BNO,H8N 1X3,Bar,747.0,45.44404309237571,-73.61375212669373
RESTO CAFE O'Connor's,H8N 2M4,Bar,833.0,45.44404309237571,-73.61375212669373
Caffe Lupo,H8N 2S2,Bar,841.0,45.44404309237571,-73.61375212669373
Monopole,H3C 1T7,Wine Bar,443.0,45.49276061084002,-73.55641052126883
New City Gas,H3C 1S4,Music Venue,310.0,45.49276061084002,-73.55641052126883
Le Bureau Bar a Tapas,H3J 1M1,Cocktail Bar,927.0,45.49276061084002,-73.55641052126883
Nhâu Bar,H3C 1N6,Cocktail Bar,746.0,45.49276061084002,-73.55641052126883
Bistro-Brasserie les Soeurs Grises,H2Y 3W5,Bar,727.0,45.49276061084002,-73.55641052126883
Bob's Cafe,H3C 1J2,Cocktail Bar,904.0,45.49276061084002,-73.55641052126883
Pub Saint Pierre,H2Y 2M2,Pub,955.0,45.49276061084002,-73.55641052126883
Resto-pub le 100 génies,H3C 2H1,Bar,633.0,45.49276061084002,-73.55641052126883
Le 409,H2Y 0B5,Bar,870.0,45.49276061084002,-73.55641052126883
Bar le Confessionnal,H2Y 2H1,Lounge,879.0,45.49276061084002,-73.55641052126883
Monopole,H3C 1T7,Wine Bar,224.0,45.49750375338383,-73.55284452438353
Pub Wolf & Workman,H2Y 1Z5,Restaurant,699.0,45.49750375338383,-73.55284452438353
New City Gas,H3C 1S4,Music Venue,437.0,45.49750375338383,-73.55284452438353
Terrasse Place d'Armes,H2Y 2X6,Hotel Bar,946.0,45.49750375338383,-73.55284452438353
Boho,H2Y 2T3,Cocktail Bar,692.0,45.49750375338383,-73.55284452438353
Nhâu Bar,H3C 1N6,Cocktail Bar,346.0,45.49750375338383,-73.55284452438353
Modavie,H2Y 1Y6,Wine Bar,887.0,45.49750375338383,-73.55284452438353
Tommy,H2Y 1T3,Lounge,779.0,45.49750375338383,-73.55284452438353
Méchant Bœuf Bar & Brasserie,H2Y 1Z3,Bar,720.0,45.49750375338383,-73.55284452438353
Bistro-Brasserie les Soeurs Grises,H2Y 3W5,Bar,175.0,45.49750375338383,-73.55284452438353
Cold Room,H2Y 1G8,Speakeasy,111.0,45.50761009451047,-73.55183601379395
Pub BreWskey,H2Y 1H2,Pub,199.0,45.50761009451047,-73.55183601379395
Perché,H2Y 1E7,Bar,89.0,45.50761009451047,-73.55183601379395
Modavie,H2Y 1Y6,Wine Bar,287.0,45.50761009451047,-73.55183601379395
Pub Wolf & Workman,H2Y 1Z5,Restaurant,493.0,45.50761009451047,-73.55183601379395
Terrasse Place d'Armes,H2Y 2X6,Hotel Bar,511.0,45.50761009451047,-73.55183601379395
Bar le Mal Nécessaire,H2Z 1J5,Cocktail Bar,737.0,45.50761009451047,-73.55183601379395
BEVO Bar + Pizzeria,H2Y 3A5,Bar,113.0,45.50761009451047,-73.55183601379395
Salumi Vino,H2Y 1C7,Wine Bar,262.0,45.50761009451047,-73.55183601379395
Boho,H2Y 2T3,Cocktail Bar,597.0,45.50761009451047,-73.55183601379395
Pub Wolf & Workman,H2Y 1Z5,Restaurant,118.0,45.50424245563397,-73.553469479084
Modavie,H2Y 1Y6,Wine Bar,138.0,45.50424245563397,-73.553469479084
Cold Room,H2Y 1G8,Speakeasy,315.0,45.50424245563397,-73.553469479084
Terrasse Place d'Armes,H2Y 2X6,Hotel Bar,341.0,45.50424245563397,-73.553469479084
Méchant Bœuf Bar & Brasserie,H2Y 1Z3,Bar,99.0,45.50424245563397,-73.553469479084
Boho,H2Y 2T3,Cocktail Bar,247.0,45.50424245563397,-73.553469479084
Tommy,H2Y 1T3,Lounge,307.0,45.50424245563397,-73.553469479084
Perché,H2Y 1E7,Bar,377.0,45.50424245563397,-73.553469479084
Pub BreWskey,H2Y 1H2,Pub,592.0,45.50424245563397,-73.553469479084
Philemon Bar,H2Y 1Z5,Night Club,95.0,45.50424245563397,-73.553469479084
New Mondo Café,H4N 3C5,Hookah Bar,649.0,45.53830765459552,-73.6548838019371
Vin Prendre Une Bière,H1T 1S6,Wine Bar,748.0,45.53830765459552,-73.6548838019371
Le Bar Salon Solid Gold Inc,H2N 1M4,Night Club,974.0,45.53830765459552,-73.6548838019371
Solevino,H4N 3B8,Bar,923.0,45.53830765459552,-73.6548838019371
Resto Bar Beauharnois,H2N 1M2,Bar,944.0,45.53830765459552,-73.6548838019371
Le Bureau Bar a Tapas,H3J 1M1,Cocktail Bar,268.0,45.48972725318433,-73.56406286358833
Le Bird Bar,H3J 1M5,Bar,377.0,45.48972725318433,-73.56406286358833
Milky Way Cocktail Bar,H3K 1H9,Night Club,809.0,45.48972725318433,-73.56406286358833
Knox Taverne,H3K 1J1,Bar,760.0,45.48972725318433,-73.56406286358833
New City Gas,H3C 1S4,Music Venue,808.0,45.48972725318433,-73.56406286358833
Lord William Pub,H3J 0B3,Pub,390.0,45.48972725318433,-73.56406286358833
Resto-pub le 100 génies,H3C 2H1,Bar,620.0,45.48972725318433,-73.56406286358833
King Crab,H3J 1M3,Speakeasy,339.0,45.48972725318433,-73.56406286358833
Henden,H3J 1M5,Speakeasy,344.0,45.48972725318433,-73.56406286358833
Mauvais Garçons,H3J 1R5,Bar,382.0,45.48972725318433,-73.56406286358833
Pub BreWskey,H2Y 1H2,Pub,208.0,45.51086,-73.54983
Cold Room,H2Y 1G8,Speakeasy,490.0,45.51086,-73.54983
Perché,H2Y 1E7,Bar,435.0,45.51086,-73.54983
Salumi Vino,H2Y 1C7,Wine Bar,236.0,45.51086,-73.54983
Modavie,H2Y 1Y6,Wine Bar,678.0,45.51086,-73.54983
Terrasse Place d'Armes,H2Y 2X6,Hotel Bar,858.0,45.51086,-73.54983
Bar le Mal Nécessaire,H2Z 1J5,Cocktail Bar,923.0,45.51086,-73.54983
Pub Wolf & Workman,H2Y 1Z5,Restaurant,886.0,45.51086,-73.54983
Cabaret Mado,H2L 2G6,Night Club,935.0,45.51086,-73.54983
BEVO Bar + Pizzeria,H2Y 3A5,Bar,491.0,45.51086,-73.54983
Typhoon Lounge,H4A 1E9,Lounge,944.0,45.46693565237702,-73.63153114914894
Bar Sora,H3X 2B6,Lounge,517.0,45.46693565237702,-73.63153114914894
Montreal Jazz & Blues,H4B 2L7,Bar,445.0,45.46693565237702,-73.63153114914894
Placements Sergakis Inc,H4B 2P4,Bar,485.0,45.46693565237702,-73.63153114914894
Bistro Bar Lounge St Jacques,,Sports Bar,996.0,45.46693565237702,-73.63153114914894
RESTO CAFE O'Connor's,H8N 2M4,Bar,528.0,45.43605512104547,-73.60577523708344
Caffe Lupo,H8N 2S2,Bar,737.0,45.43605512104547,-73.60577523708344
Uber Cafbar,H2C 1P8,Lounge,624.0,45.55675103297278,-73.66716161370277
Bar Lajeunesse,H2C 1E2,Lounge,127.0,45.55675103297278,-73.66716161370277
