cb_station_id,cb_station_name,cb_latitude,cb_longitude,cb_bike_num,name,postcode,category,distance,review_count,rating,price
a7671fb398de9ac6bd6bc552b5323b7a,Parc Kent (de Kent / Hudson),45.5057209331225,-73.62945914268494,27,La Retenue Bière et Amusement,,Bar,856.0,,,
0e58810dea9e4869279089cb8576642f,Rachel / de Brébeuf,45.52689,-73.57264,29,Pub Pit Caribou,H2J 2J4,Beer Bar,301.0,,,
0e58810dea9e4869279089cb8576642f,Rachel / de Brébeuf,45.52689,-73.57264,29,Rouge Gorge,H2J 1Y1,Wine Bar,488.0,,,
0e58810dea9e4869279089cb8576642f,Rachel / de Brébeuf,45.52689,-73.57264,29,Pub West Shefford,H2J 1Z2,Bar,584.0,,,
0e58810dea9e4869279089cb8576642f,Rachel / de Brébeuf,45.52689,-73.57264,29,La Distillerie No2,H2H 1J7,Cocktail Bar,919.0,,,
0e58810dea9e4869279089cb8576642f,Rachel / de Brébeuf,45.52689,-73.57264,29,Bar Plan B,H2T 1P8,Cocktail Bar,944.0,36.0,3.5,$$
0e58810dea9e4869279089cb8576642f,Rachel / de Brébeuf,45.52689,-73.57264,29,Cafe-Bar le Boudoir,H2J 1X1,Cocktail Bar,637.0,,,
0e58810dea9e4869279089cb8576642f,Rachel / de Brébeuf,45.52689,-73.57264,29,Barraca Rhumerie,H2J 1X8,Lounge,491.0,,,
0e58810dea9e4869279089cb8576642f,Rachel / de Brébeuf,45.52689,-73.57264,29,Fitzroy,H2J 1W6,Pool Hall,747.0,45.0,3.0,$$
0e58810dea9e4869279089cb8576642f,Rachel / de Brébeuf,45.52689,-73.57264,29,A Bar,H2W 1E4,Bar,954.0,,,
0e58810dea9e4869279089cb8576642f,Rachel / de Brébeuf,45.52689,-73.57264,29,Aux Verres Stérilisés Inc,H2J 2H6,Lounge,479.0,,,
5f87ab3bfe9c4289033da69a74957d0e,Aréna Rodrigue-Gilbert (du Tricentenaire / de Montigny),45.65140583915357,-73.50041270256041,15,Karaoke Maniac,H1A 0A1,Karaoke Bar,136.0,,,
5f87ab3bfe9c4289033da69a74957d0e,Aréna Rodrigue-Gilbert (du Tricentenaire / de Montigny),45.65140583915357,-73.50041270256041,15,Bistro du Jardin,H1A 1R9,Bar,958.0,,,
3cc8af25d891cb13e3301e4a612d0383,Notre-Dame / St-Gabriel,45.50714391928411,-73.55511903762817,15,Cold Room,H2Y 1G8,Speakeasy,162.0,,,
3cc8af25d891cb13e3301e4a612d0383,Notre-Dame / St-Gabriel,45.50714391928411,-73.55511903762817,15,Terrasse Place d'Armes,H2Y 2X6,Hotel Bar,275.0,68.0,3.5,$$
3cc8af25d891cb13e3301e4a612d0383,Notre-Dame / St-Gabriel,45.50714391928411,-73.55511903762817,15,Modavie,H2Y 1Y6,Wine Bar,210.0,,,
3cc8af25d891cb13e3301e4a612d0383,Notre-Dame / St-Gabriel,45.50714391928411,-73.55511903762817,15,Perché,H2Y 1E7,Bar,174.0,42.0,3.5,$$$
3cc8af25d891cb13e3301e4a612d0383,Notre-Dame / St-Gabriel,45.50714391928411,-73.55511903762817,15,Pub BreWskey,H2Y 1H2,Pub,376.0,,,
3cc8af25d891cb13e3301e4a612d0383,Notre-Dame / St-Gabriel,45.50714391928411,-73.55511903762817,15,Pub Wolf & Workman,H2Y 1Z5,Restaurant,388.0,,,
3cc8af25d891cb13e3301e4a612d0383,Notre-Dame / St-Gabriel,45.50714391928411,-73.55511903762817,15,Bar le Mal Nécessaire,H2Z 1J5,Cocktail Bar,499.0,,,
3cc8af25d891cb13e3301e4a612d0383,Notre-Dame / St-Gabriel,45.50714391928411,-73.55511903762817,15,Boho,H2Y 2T3,Cocktail Bar,443.0,,,
3cc8af25d891cb13e3301e4a612d0383,Notre-Dame / St-Gabriel,45.50714391928411,-73.55511903762817,15,Tommy,H2Y 1T3,Lounge,414.0,,,
3cc8af25d891cb13e3301e4a612d0383,Notre-Dame / St-Gabriel,45.50714391928411,-73.55511903762817,15,Cadet,H2X 2S8,Restaurant,814.0,113.0,4.5,$$$
dbe6f3be853e1100918aa06b6418eb86,U. Concordia - Campus Loyola (Sherbrooke / West Broadway),45.45750908083069,-73.6394852399826,27,The G-Lounge,H4B 1R6,College Cafeteria,102.0,,,
dbe6f3be853e1100918aa06b6418eb86,U. Concordia - Campus Loyola (Sherbrooke / West Broadway),45.45750908083069,-73.6394852399826,27,Bar les Amazones,H4B 1V8,Night Club,900.0,,,
d45cc49cea4480b9116b1363dcc5355d,Parc Labelle (LaSalle / Henri-Duhamel),45.47256100297732,-73.56998920440674,19,Messorem Bracitorium,H4E 4H2,Bar,916.0,,,
d45cc49cea4480b9116b1363dcc5355d,Parc Labelle (LaSalle / Henri-Duhamel),45.47256100297732,-73.56998920440674,19,Bar Social Verdun,H4G 1V1,Bar,809.0,,,
d45cc49cea4480b9116b1363dcc5355d,Parc Labelle (LaSalle / Henri-Duhamel),45.47256100297732,-73.56998920440674,19,LaChicRégal,H3K 1J9,Bar,655.0,,,
